timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2026-06-19T10:47:12.037580,0.288,0.034,-1.08,0.908,0.297,0.282
2026-06-19T10:47:12.145153,0.29,0.035,-1.097,0.61,0.183,0.374
2026-06-19T10:47:12.252719,0.286,0.033,-1.091,0.816,0.473,0.29
2026-06-19T10:47:12.360365,0.29,0.033,-1.091,0.862,0.465,0.404
2026-06-19T10:47:12.467894,0.287,0.032,-1.096,1.022,0.549,0.236
2026-06-19T10:47:12.575463,0.291,0.031,-1.1,0.74,0.404,0.679
2026-06-19T10:47:12.683208,0.288,0.032,-1.097,1.022,0.458,0.297
2026-06-19T10:47:12.790801,0.287,0.031,-1.091,0.969,0.473,0.114
2026-06-19T10:47:12.898356,0.288,0.034,-1.092,0.977,0.534,0.366
2026-06-19T10:47:13.007165,0.289,0.034,-1.096,0.77,0.48,0.145
2026-06-19T10:47:13.114625,0.293,0.03,-1.095,0.824,0.465,0.19
2026-06-19T10:47:13.222227,0.292,0.032,-1.096,0.87,0.389,0.251
2026-06-19T10:47:13.329796,0.29,0.036,-1.102,1.03,0.351,0.114
2026-06-19T10:47:13.437431,0.29,0.034,-1.094,0.977,0.297,0.236
2026-06-19T10:47:13.545008,0.289,0.035,-1.079,0.9,0.091,0.381
2026-06-19T10:47:13.652655,0.289,0.033,-1.096,1.007,0.389,0.183
2026-06-19T10:47:13.760400,0.285,0.036,-1.092,1.099,0.648,0.442
2026-06-19T10:47:13.867987,0.292,0.031,-1.095,0.656,0.442,0.007
2026-06-19T10:47:13.975601,0.294,0.03,-1.099,0.763,0.488,0.183
2026-06-19T10:47:14.085161,0.289,0.035,-1.093,0.885,0.198,0.29
2026-06-19T10:47:14.193054,0.289,0.034,-1.097,0.809,0.32,0.244
2026-06-19T10:47:14.300752,0.287,0.033,-1.1,0.679,0.564,0.435
2026-06-19T10:47:14.408820,0.292,0.03,-1.097,1.015,1.908,0.305
2026-06-19T10:47:14.516948,0.292,0.034,-1.08,0.9,0.267,0.358
2026-06-19T10:47:14.624628,0.29,0.031,-1.102,0.908,0.572,0.274
2026-06-19T10:47:14.732328,0.285,0.035,-1.095,0.87,0.435,0.374
2026-06-19T10:47:14.839902,0.291,0.036,-1.097,0.961,0.351,0.198
2026-06-19T10:47:14.947526,0.289,0.029,-1.094,0.908,0.213,0.404
2026-06-19T10:47:15.055255,0.294,0.031,-1.093,0.847,0.435,0.137
2026-06-19T10:47:15.162864,0.287,0.034,-1.097,0.862,0.442,0.366
2026-06-19T10:47:15.270523,0.292,0.032,-1.104,0.801,0.442,0.19
2026-06-19T10:47:15.378176,0.289,0.032,-1.091,0.961,0.083,0.183
2026-06-19T10:47:15.485785,0.286,0.032,-1.099,0.793,0.778,0.007
2026-06-19T10:47:15.593456,0.29,0.032,-1.098,0.732,0.396,0.244
2026-06-19T10:47:15.701132,0.29,0.039,-1.104,0.687,0.083,0.381
2026-06-19T10:47:15.808750,0.293,0.034,-1.09,1.022,0.358,0.022
2026-06-19T10:47:15.916421,0.287,0.039,-1.108,0.786,0.427,0.282
2026-06-19T10:47:16.024050,0.288,0.032,-1.097,0.763,0.19,0.145
2026-06-19T10:47:16.131637,0.292,0.026,-1.094,0.893,0.503,0.099
2026-06-19T10:47:16.239309,0.29,0.037,-1.094,0.938,0.412,0.045
2026-06-19T10:47:16.346869,0.285,0.032,-1.095,0.977,0.32,0.45
2026-06-19T10:47:16.454437,0.29,0.031,-1.095,0.625,0.549,0.305
2026-06-19T10:47:16.562049,0.29,0.031,-1.1,1.007,0.488,0.236
2026-06-19T10:47:16.669682,0.303,0.032,-1.086,1.229,0.74,0.58
2026-06-19T10:47:16.777372,0.298,0.047,-1.108,1.236,1.16,0.389
2026-06-19T10:47:16.884985,0.266,0.036,-1.082,1.007,0.236,0.015
2026-06-19T10:47:16.992624,0.294,0.023,-1.095,0.618,0.435,0.297
2026-06-19T10:47:17.100287,0.301,0.039,-1.101,1.007,1.931,0.183
2026-06-19T10:47:17.208069,0.292,0.035,-1.101,0.755,0.404,0.351
2026-06-19T10:47:17.315643,0.293,0.033,-1.108,0.77,0.198,0.221
2026-06-19T10:47:17.423286,0.292,0.034,-1.094,0.847,0.343,0.198
2026-06-19T10:47:17.530871,0.283,0.032,-1.102,0.824,0.351,0.396
2026-06-19T10:47:17.638500,0.283,0.036,-1.098,0.908,0.244,0.305
2026-06-19T10:47:17.746178,0.281,0.046,-1.091,0.969,0.213,0.274
2026-06-19T10:47:17.853762,0.285,0.034,-1.107,0.732,0.564,0.206
2026-06-19T10:47:17.961426,0.292,0.032,-1.096,0.526,0.244,0.312
2026-06-19T10:47:18.068999,0.29,0.034,-1.093,0.977,0.503,0.16
2026-06-19T10:47:18.176597,0.289,0.037,-1.091,0.786,0.419,0.167
2026-06-19T10:47:18.284228,0.29,0.016,-1.097,0.908,0.465,0.374
2026-06-19T10:47:18.391837,0.293,0.018,-1.085,0.877,0.206,0.366
2026-06-19T10:47:18.499418,0.292,0.036,-1.084,0.916,0.412,0.366
2026-06-19T10:47:18.607071,0.294,0.026,-1.103,0.9,1.916,1.931
2026-06-19T10:47:18.714725,0.298,0.031,-1.094,1.053,0.251,0.381
2026-06-19T10:47:18.822305,0.29,0.037,-1.097,0.87,0.221,0.32
2026-06-19T10:47:18.929956,0.29,0.034,-1.092,0.87,0.297,0.282
2026-06-19T10:47:19.037627,0.294,0.046,-1.104,0.885,0.358,0.335
2026-06-19T10:47:19.145282,0.289,0.032,-1.106,0.923,0.244,0.076
2026-06-19T10:47:19.252971,0.289,0.036,-1.097,1.167,0.351,0.137
2026-06-19T10:47:19.360601,0.288,0.034,-1.079,1.038,0.557,0.16
2026-06-19T10:47:19.468292,0.289,0.034,-1.092,0.862,0.114,0.259
2026-06-19T10:47:19.575988,0.288,0.033,-1.091,0.916,0.633,0.03
2026-06-19T10:47:19.683896,0.291,0.029,-1.094,1.061,0.351,0.167
2026-06-19T10:47:19.791545,0.288,0.037,-1.1,0.74,0.793,0.198
2026-06-19T10:47:19.899214,0.287,0.03,-1.097,0.61,0.175,0.435
2026-06-19T10:47:20.007930,0.292,0.029,-1.091,0.839,0.335,0.19
2026-06-19T10:47:20.115301,0.291,0.036,-1.095,0.839,0.549,0.183
2026-06-19T10:47:20.222912,0.293,0.033,-1.092,0.595,0.167,0.267
2026-06-19T10:47:20.330503,0.292,0.033,-1.095,0.854,0.473,0.106
2026-06-19T10:47:20.438142,0.293,0.035,-1.101,1.03,0.221,0.274
2026-06-19T10:47:20.545738,0.289,0.032,-1.092,0.893,0.213,0.19
2026-06-19T10:47:20.653397,0.291,0.046,-1.097,1.0,0.29,0.053
2026-06-19T10:47:20.761035,0.294,0.017,-1.102,0.938,0.374,0.297
2026-06-19T10:47:20.868695,0.29,0.032,-1.099,0.77,0.29,0.435
2026-06-19T10:47:20.976380,0.289,0.033,-1.108,1.038,0.381,0.305
2026-06-19T10:47:21.083988,0.295,0.031,-1.093,0.839,0.328,1.893
2026-06-19T10:47:21.191651,0.297,0.033,-1.094,1.114,-1.938,0.221
2026-06-19T10:47:21.299309,0.285,0.037,-1.095,0.908,0.511,0.48
2026-06-19T10:47:21.406903,0.288,0.032,-1.103,0.847,0.755,0.404
2026-06-19T10:47:21.514466,0.286,0.031,-1.095,0.938,0.267,0.511
2026-06-19T10:47:21.622127,0.292,0.026,-1.09,0.763,0.458,0.351
2026-06-19T10:47:21.729870,0.294,0.035,-1.097,0.778,0.412,0.16
2026-06-19T10:47:21.837509,0.293,0.03,-1.089,0.77,0.122,0.236
2026-06-19T10:47:21.945140,0.294,0.037,-1.097,0.687,0.572,0.038
2026-06-19T10:47:22.052815,0.29,0.03,-1.097,0.839,0.496,0.488
2026-06-19T10:47:22.160453,0.291,0.032,-1.09,0.946,0.267,0.297
2026-06-19T10:47:22.268035,0.29,0.035,-1.098,0.725,0.427,0.435
2026-06-19T10:47:22.375638,0.294,0.03,-1.102,0.923,0.32,0.297
2026-06-19T10:47:22.483259,0.29,0.037,-1.096,0.839,0.351,0.145
2026-06-19T10:47:22.590853,0.288,0.035,-1.099,0.923,0.366,0.099
2026-06-19T10:47:22.698585,0.291,0.034,-1.093,1.0,0.374,0.412
2026-06-19T10:47:22.806190,0.29,0.027,-1.089,1.03,0.305,0.305
2026-06-19T10:47:22.913747,0.284,0.036,-1.104,1.0,0.511,0.068
2026-06-19T10:47:23.021422,0.29,0.018,-1.095,0.732,0.412,0.358
2026-06-19T10:47:23.129009,0.294,0.035,-1.102,1.022,0.312,0.251
2026-06-19T10:47:23.236662,0.288,0.034,-1.107,0.862,0.114,0.267
2026-06-19T10:47:23.344307,0.287,0.037,-1.082,1.32,0.671,0.122
2026-06-19T10:47:23.451907,0.289,0.035,-1.094,0.778,0.374,0.282
2026-06-19T10:47:23.559479,0.291,0.033,-1.092,0.908,0.236,0.076
2026-06-19T10:47:23.667131,0.289,0.032,-1.092,0.87,0.175,0.305
2026-06-19T10:47:23.775506,0.286,0.032,-1.107,0.946,0.511,0.519
2026-06-19T10:47:23.883166,0.288,0.033,-1.097,0.748,0.19,0.053
2026-06-19T10:47:23.990815,0.29,0.033,-1.095,0.77,0.351,0.358
2026-06-19T10:47:24.098182,0.291,0.036,-1.092,0.938,0.633,0.114
2026-06-19T10:47:24.205726,0.289,0.035,-1.106,0.755,0.083,0.076
2026-06-19T10:47:24.313366,0.291,0.032,-1.096,0.87,0.503,0.244
2026-06-19T10:47:24.420993,0.293,0.033,-1.098,0.862,0.45,0.572
2026-06-19T10:47:24.528622,0.291,0.032,-1.094,0.809,0.503,0.351
2026-06-19T10:47:24.636212,0.287,0.038,-1.098,1.091,0.534,0.549
2026-06-19T10:47:24.743921,0.289,0.029,-1.093,0.763,0.091,0.396
2026-06-19T10:47:24.851580,0.289,0.034,-1.1,0.809,0.435,0.305
2026-06-19T10:47:24.959318,0.288,0.031,-1.104,0.908,0.404,-1.938
2026-06-19T10:47:25.066915,0.291,0.033,-1.095,1.007,0.259,0.114
2026-06-19T10:47:25.174550,0.292,0.032,-1.094,0.801,0.244,0.091
2026-06-19T10:47:25.282190,0.293,0.028,-1.092,1.045,0.351,0.068
2026-06-19T10:47:25.389769,0.289,0.034,-1.098,0.641,0.312,0.229
2026-06-19T10:47:25.497412,0.291,0.03,-1.097,0.732,0.366,0.244
2026-06-19T10:47:25.605004,0.291,0.031,-1.098,0.916,0.236,0.595
2026-06-19T10:47:25.712651,0.288,0.035,-1.086,0.931,0.229,0.16
2026-06-19T10:47:25.820278,0.287,0.031,-1.091,1.068,0.282,0.19
2026-06-19T10:47:25.927953,0.292,0.034,-1.093,0.87,0.435,0.274
2026-06-19T10:47:26.035277,0.292,0.032,-1.094,0.801,0.19,0.114
2026-06-19T10:47:26.142860,0.286,0.034,-1.091,0.938,0.625,0.0
2026-06-19T10:47:26.250549,0.29,0.036,-1.105,0.839,0.511,0.259
2026-06-19T10:47:26.358211,0.294,0.039,-1.095,0.801,0.213,0.129
2026-06-19T10:47:26.465781,0.291,0.031,-1.096,0.992,0.381,0.389
2026-06-19T10:47:26.573384,0.287,0.028,-1.094,1.007,0.526,0.412
2026-06-19T10:47:26.681498,0.29,0.033,-1.092,0.77,0.419,0.404
2026-06-19T10:47:26.789591,0.289,0.031,-1.082,0.786,0.519,0.175
2026-06-19T10:47:26.897292,0.289,0.032,-1.095,0.908,0.374,0.374
2026-06-19T10:47:27.006146,0.291,0.034,-1.1,0.923,0.488,0.198
2026-06-19T10:47:27.113538,0.291,0.035,-1.092,0.778,0.351,0.45
2026-06-19T10:47:27.221109,0.293,0.029,-1.08,0.877,0.45,0.183
2026-06-19T10:47:27.328652,0.293,0.033,-1.102,0.862,0.29,0.511
2026-06-19T10:47:27.436329,0.293,0.044,-1.094,1.0,0.458,0.259
2026-06-19T10:47:27.543884,0.291,0.034,-1.097,0.732,0.259,0.083
2026-06-19T10:47:27.651471,0.287,0.034,-1.09,0.641,0.458,0.267
2026-06-19T10:47:27.759116,0.291,0.016,-1.099,1.16,0.48,0.541
2026-06-19T10:47:27.866707,0.291,0.036,-1.098,1.007,0.396,0.053
2026-06-19T10:47:27.974329,0.294,0.033,-1.097,0.824,0.091,-1.893
2026-06-19T10:47:28.081690,0.293,0.034,-1.093,1.0,0.122,0.572
2026-06-19T10:47:28.189248,0.291,0.037,-1.09,1.068,0.351,0.221
2026-06-19T10:47:28.296901,0.286,0.034,-1.097,0.87,0.099,0.351
2026-06-19T10:47:28.404503,0.292,0.031,-1.092,0.916,0.251,0.351
2026-06-19T10:47:28.512113,0.288,0.028,-1.094,0.984,0.412,0.389
2026-06-19T10:47:28.619734,0.29,0.035,-1.097,0.656,0.412,0.221
2026-06-19T10:47:28.727352,0.294,0.031,-1.08,0.893,0.099,0.335
2026-06-19T10:47:28.834919,0.297,0.029,-1.106,0.877,-1.954,0.015
2026-06-19T10:47:28.942477,0.284,0.036,-1.093,0.687,0.351,0.442
2026-06-19T10:47:29.050156,0.287,0.033,-1.091,0.732,0.557,0.053
2026-06-19T10:47:29.157730,0.291,0.034,-1.099,0.862,0.328,0.358
2026-06-19T10:47:29.265451,0.287,0.033,-1.097,0.893,0.381,0.267
2026-06-19T10:47:29.373019,0.288,0.036,-1.098,1.03,0.305,0.076
2026-06-19T10:47:29.480646,0.292,0.031,-1.096,0.984,0.358,0.19
2026-06-19T10:47:29.588258,0.294,0.033,-1.091,1.114,0.404,0.305
2026-06-19T10:47:29.695855,0.286,0.034,-1.096,1.068,0.32,0.458
2026-06-19T10:47:29.803455,0.291,0.034,-1.109,0.824,0.351,0.488
2026-06-19T10:47:29.911109,0.289,0.028,-1.092,0.839,0.671,0.175
2026-06-19T10:47:30.018421,0.29,0.045,-1.098,0.74,0.618,0.152
2026-06-19T10:47:30.126066,0.286,0.033,-1.098,0.961,0.885,0.381
2026-06-19T10:47:30.233691,0.287,0.034,-1.099,0.77,0.221,0.175
2026-06-19T10:47:30.341355,0.292,0.035,-1.101,0.931,0.328,0.412
2026-06-19T10:47:30.448916,0.289,0.032,-1.09,0.854,0.526,0.465
2026-06-19T10:47:30.556494,0.291,0.033,-1.097,0.809,0.778,0.366
2026-06-19T10:47:30.664067,0.294,0.03,-1.101,0.74,0.03,0.122
2026-06-19T10:47:30.771721,0.292,0.036,-1.093,1.175,0.274,0.106
2026-06-19T10:47:30.879333,0.285,0.033,-1.096,0.961,0.335,0.145
2026-06-19T10:47:30.986900,0.287,0.034,-1.097,0.763,0.557,0.274
2026-06-19T10:47:31.094492,0.288,0.033,-1.098,0.847,0.068,0.351
2026-06-19T10:47:31.202125,0.292,0.033,-1.091,0.732,0.335,0.183
2026-06-19T10:47:31.309726,0.29,0.035,-1.094,0.854,0.427,0.0
2026-06-19T10:47:31.417340,0.291,0.032,-1.099,0.74,0.206,0.213
2026-06-19T10:47:31.525002,0.289,0.029,-1.093,0.671,0.19,0.305
2026-06-19T10:47:31.632606,0.289,0.037,-1.099,0.778,0.358,0.366
2026-06-19T10:47:31.740271,0.282,0.039,-1.108,0.969,0.58,0.557
2026-06-19T10:47:31.847888,0.292,0.035,-1.098,0.931,0.061,0.16
2026-06-19T10:47:31.955454,0.282,0.03,-1.072,1.198,1.213,0.351
2026-06-19T10:47:32.063238,0.294,0.034,-1.091,0.885,0.404,0.541
2026-06-19T10:47:32.170880,0.29,0.03,-1.09,0.824,0.19,0.229
2026-06-19T10:47:32.278466,0.295,0.033,-1.093,0.809,0.656,0.022
2026-06-19T10:47:32.386110,0.289,0.03,-1.091,0.572,0.847,0.251
2026-06-19T10:47:32.493661,0.299,0.035,-1.119,0.595,0.297,0.381
2026-06-19T10:47:32.601276,0.29,0.033,-1.08,0.923,0.29,0.083
2026-06-19T10:47:32.708915,0.288,0.036,-1.102,1.03,0.48,0.213
2026-06-19T10:47:32.816554,0.294,0.055,-1.093,1.068,0.16,0.435
2026-06-19T10:47:32.924123,0.288,0.039,-1.109,0.809,0.389,-1.954
2026-06-19T10:47:33.031445,0.296,0.035,-1.105,1.03,0.458,0.267
2026-06-19T10:47:33.139064,0.286,0.029,-1.094,1.083,0.374,0.458
2026-06-19T10:47:33.246809,0.288,0.029,-1.087,0.671,0.702,0.16
2026-06-19T10:47:33.354354,0.273,0.044,-1.098,1.29,1.732,0.488
2026-06-19T10:47:33.461996,0.295,0.029,-1.106,0.412,0.213,0.122
2026-06-19T10:47:33.569597,0.291,0.032,-1.086,0.908,0.442,0.229
2026-06-19T10:47:33.677159,0.309,0.032,-1.086,0.893,0.442,0.068
2026-06-19T10:47:33.784738,0.289,0.029,-1.099,0.572,0.526,0.381
2026-06-19T10:47:33.892400,0.329,0.028,-1.07,-1.503,2.786,0.725
2026-06-19T10:47:34.000232,0.308,0.018,-1.102,1.366,0.091,0.32
2026-06-19T10:47:34.107662,0.261,0.016,-1.095,1.122,0.618,0.297
2026-06-19T10:47:34.215427,0.278,0.036,-1.087,0.541,0.183,0.167
2026-06-19T10:47:34.323091,0.296,0.034,-1.085,0.954,0.511,0.251
2026-06-19T10:47:34.430781,0.305,0.024,-1.093,0.9,0.45,0.389
2026-06-19T10:47:34.538325,0.268,0.025,-1.103,0.572,0.427,0.068
2026-06-19T10:47:34.645960,0.299,0.03,-1.099,0.305,0.679,0.061
2026-06-19T10:47:34.753597,0.298,0.027,-1.09,0.77,0.374,0.274
2026-06-19T10:47:34.861159,0.295,0.037,-1.095,0.839,0.206,0.458
2026-06-19T10:47:34.968752,0.278,0.035,-1.078,1.198,0.671,0.16
2026-06-19T10:47:35.076800,0.292,0.031,-1.082,0.473,0.129,-1.908
2026-06-19T10:47:35.184436,0.292,0.03,-1.091,1.145,0.152,0.45
2026-06-19T10:47:35.292004,0.289,0.035,-1.106,0.664,1.885,0.251
